TransactionDate,SellerId,Trans_amount
2016-07-31T00:00:00.000Z,13,652775
2016-06-30T00:00:00.000Z,13,26775
2016-06-30T00:00:00.000Z,13,134704
2016-06-30T00:00:00.000Z,13,46856
2016-06-30T00:00:00.000Z,13,183430
2016-06-30T00:00:00.000Z,13,181114
2016-06-30T00:00:00.000Z,13,4973
2016-05-31T00:00:00.000Z,13,746513
2016-10-31T00:00:00.000Z,13,338194
2016-09-30T00:00:00.000Z,13,224190
2016-08-31T00:00:00.000Z,13,266048
2016-07-31T00:00:00.000Z,13,208035
2016-06-30T00:00:00.000Z,13,184238
2018-09-30T00:00:00.000Z,13,214625
2018-09-30T00:00:00.000Z,13,76501
2018-09-30T00:00:00.000Z,13,356695
2018-09-30T00:00:00.000Z,13,237292
2018-09-30T00:00:00.000Z,13,436481
2018-08-31T00:00:00.000Z,13,78414
2018-09-30T00:00:00.000Z,13,18487
2018-09-30T00:00:00.000Z,13,108375
2018-09-30T00:00:00.000Z,13,50180
2018-06-30T00:00:00.000Z,13,245700
2018-06-30T00:00:00.000Z,13,528975
2018-09-30T00:00:00.000Z,13,31250
2019-03-15T00:00:00.000Z,13,388100
2019-02-28T00:00:00.000Z,13,1547740
2019-02-28T00:00:00.000Z,13,51002
2019-02-28T00:00:00.000Z,13,98770
2019-02-28T00:00:00.000Z,13,520744
2019-02-28T00:00:00.000Z,13,0
2019-02-28T00:00:00.000Z,13,117555
2019-02-15T00:00:00.000Z,13,62046
2019-02-28T00:00:00.000Z,13,340085
2019-02-28T00:00:00.000Z,13,794750
2019-02-28T00:00:00.000Z,13,366749
2019-01-31T00:00:00.000Z,13,28125
2019-02-28T00:00:00.000Z,13,9053
2019-02-28T00:00:00.000Z,13,282095
2019-02-28T00:00:00.000Z,13,217750
2019-02-28T00:00:00.000Z,13,2585175
2019-02-15T00:00:00.000Z,13,80000
2019-03-01T00:00:00.000Z,13,1300000
2019-01-15T00:00:00.000Z,13,57500
2019-01-31T00:00:00.000Z,13,439700
2019-01-31T00:00:00.000Z,13,1249106
2018-11-30T00:00:00.000Z,13,193750
2019-01-31T00:00:00.000Z,13,593750
2018-10-31T00:00:00.000Z,13,538750
2018-11-30T00:00:00.000Z,13,650850
2018-12-31T00:00:00.000Z,13,560400
2019-02-15T00:00:00.000Z,13,3040875
2019-02-15T00:00:00.000Z,13,487125
2019-01-31T00:00:00.000Z,13,42397
2019-01-31T00:00:00.000Z,13,420450
2019-01-31T00:00:00.000Z,13,176121
2019-01-15T00:00:00.000Z,13,91875
2019-01-31T00:00:00.000Z,13,3210450
2019-01-31T00:00:00.000Z,13,212500
2019-01-31T00:00:00.000Z,13,51002
2019-01-31T00:00:00.000Z,13,404384
2019-01-31T00:00:00.000Z,13,230775
2019-01-31T00:00:00.000Z,13,186150
2019-01-31T00:00:00.000Z,13,39375
2018-12-31T00:00:00.000Z,13,730000
2018-07-15T00:00:00.000Z,13,196875
2018-06-15T00:00:00.000Z,13,195000
2018-07-31T00:00:00.000Z,13,723374
2018-06-30T00:00:00.000Z,13,406808
2018-07-31T00:00:00.000Z,13,66938
2018-06-30T00:00:00.000Z,13,81283
2018-07-31T00:00:00.000Z,13,471325
2018-06-30T00:00:00.000Z,13,124610
2018-06-30T00:00:00.000Z,13,160565
2018-07-31T00:00:00.000Z,13,44307
2018-06-30T00:00:00.000Z,13,27625
2018-07-31T00:00:00.000Z,13,17533
2018-06-30T00:00:00.000Z,13,22314
2018-07-31T00:00:00.000Z,13,765324
2018-06-30T00:00:00.000Z,13,609138
2018-07-31T00:00:00.000Z,13,391765
2018-06-30T00:00:00.000Z,13,327505
2018-06-30T00:00:00.000Z,13,123845
2018-08-13T00:00:00.000Z,13,1129295
2018-07-15T00:00:00.000Z,13,273075
2018-07-31T00:00:00.000Z,13,131250
2018-06-30T00:00:00.000Z,13,28125
2018-09-30T00:00:00.000Z,13,87250
2018-05-31T00:00:00.000Z,13,82125
2018-12-15T00:00:00.000Z,13,63750
2018-11-15T00:00:00.000Z,13,151875
2019-01-15T00:00:00.000Z,13,205625
2019-02-01T00:00:00.000Z,13,1300000
2018-12-31T00:00:00.000Z,13,202500
2018-12-31T00:00:00.000Z,13,45500
2019-01-15T00:00:00.000Z,13,3233000
2019-01-15T00:00:00.000Z,13,110625
2019-01-15T00:00:00.000Z,13,288750
2018-12-30T00:00:00.000Z,13,2915650
2018-12-31T00:00:00.000Z,13,106250
2018-12-31T00:00:00.000Z,13,346872
2018-12-31T00:00:00.000Z,13,348500
2018-12-31T00:00:00.000Z,13,22313
2018-12-31T00:00:00.000Z,13,167875
2018-12-31T00:00:00.000Z,13,173570
2018-12-31T00:00:00.000Z,13,30282
2019-01-01T00:00:00.000Z,13,1300000
2018-11-30T00:00:00.000Z,13,450000
2018-12-31T00:00:00.000Z,13,778720
2018-12-11T00:00:00.000Z,13,3400000
2018-11-30T00:00:00.000Z,13,155625
2018-12-15T00:00:00.000Z,13,137625
2018-11-30T00:00:00.000Z,13,403750
2018-12-15T00:00:00.000Z,13,380625
2018-12-15T00:00:00.000Z,13,49350
2018-12-15T00:00:00.000Z,13,2123375
2018-10-31T00:00:00.000Z,13,482125
2018-11-30T00:00:00.000Z,13,36657
2018-11-30T00:00:00.000Z,13,95625
2018-11-30T00:00:00.000Z,13,176375
2018-11-30T00:00:00.000Z,13,252705
2018-11-30T00:00:00.000Z,13,9563
2018-11-30T00:00:00.000Z,13,673752
2018-11-30T00:00:00.000Z,13,898714
2018-11-30T00:00:00.000Z,13,221680
2018-11-30T00:00:00.000Z,13,2357400
2018-11-15T00:00:00.000Z,13,64350
2018-11-15T00:00:00.000Z,13,220875
2018-11-21T00:00:00.000Z,13,2810425
2018-11-15T00:00:00.000Z,13,446125
2018-11-02T00:00:00.000Z,13,2338500
2018-10-31T00:00:00.000Z,13,259375
2018-10-31T00:00:00.000Z,13,210375
2018-10-31T00:00:00.000Z,13,177395
2018-10-31T00:00:00.000Z,13,33469
2018-10-31T00:00:00.000Z,13,6375
2018-10-31T00:00:00.000Z,13,15619
2018-10-31T00:00:00.000Z,13,385303
2018-10-31T00:00:00.000Z,13,954914
2018-10-31T00:00:00.000Z,13,200430
2018-10-15T00:00:00.000Z,13,56250
2018-10-15T00:00:00.000Z,13,183750
2018-09-30T00:00:00.000Z,13,425250
2018-10-18T00:00:00.000Z,13,1000000
2018-10-19T00:00:00.000Z,13,3257250
2018-10-15T00:00:00.000Z,13,73275
2018-09-15T00:00:00.000Z,13,163950
2018-10-15T00:00:00.000Z,13,41250
2018-10-15T00:00:00.000Z,13,263625
2018-10-18T00:00:00.000Z,13,1000000
2018-09-30T00:00:00.000Z,13,498125
2018-10-05T00:00:00.000Z,13,2416025
2018-09-21T00:00:00.000Z,13,1415875
2018-08-31T00:00:00.000Z,13,369750
2018-09-15T00:00:00.000Z,13,97000
2018-08-15T00:00:00.000Z,13,206175
2018-09-15T00:00:00.000Z,13,185095
2018-09-15T00:00:00.000Z,13,101250
2018-09-15T00:00:00.000Z,13,384750
2018-08-31T00:00:00.000Z,13,174250
2018-08-31T00:00:00.000Z,13,128919
2018-08-31T00:00:00.000Z,13,20156
2018-08-31T00:00:00.000Z,13,84472
2018-09-08T00:00:00.000Z,13,1459545
2018-08-31T00:00:00.000Z,13,211268
2018-08-31T00:00:00.000Z,13,467018
2018-08-31T00:00:00.000Z,13,259250
2018-08-31T00:00:00.000Z,13,567524
2018-08-31T00:00:00.000Z,13,103375
2018-08-15T00:00:00.000Z,13,108750
2018-08-15T00:00:00.000Z,13,147225
2018-08-28T00:00:00.000Z,13,1946700
2018-08-15T00:00:00.000Z,13,58125
2018-08-15T00:00:00.000Z,13,14325
2018-08-15T00:00:00.000Z,13,228750
2018-07-31T00:00:00.000Z,13,362475
2018-08-24T00:00:00.000Z,13,661800
2018-08-15T00:00:00.000Z,13,453750
2018-07-15T00:00:00.000Z,13,34350
2018-07-31T00:00:00.000Z,13,172100
2018-07-15T00:00:00.000Z,13,88125
2018-07-31T00:00:00.000Z,13,1377990
2018-07-15T00:00:00.000Z,13,79125
2018-07-15T00:00:00.000Z,13,331875
2018-07-16T00:00:00.000Z,13,948875
2018-06-15T00:00:00.000Z,13,273000
2018-05-16T00:00:00.000Z,13,84375
2018-06-29T00:00:00.000Z,13,982375
2018-06-15T00:00:00.000Z,13,61125
2018-06-15T00:00:00.000Z,13,131850
2018-05-16T00:00:00.000Z,13,58125
2018-06-15T00:00:00.000Z,13,360750
2018-05-31T00:00:00.000Z,13,226015
2018-06-15T00:00:00.000Z,13,995875
2018-06-15T00:00:00.000Z,13,227700
2018-05-31T00:00:00.000Z,13,446500
2018-05-31T00:00:00.000Z,13,877701
2018-06-15T00:00:00.000Z,13,572475
2018-05-31T00:00:00.000Z,13,567300
2016-07-19T00:00:00.000Z,13,0
2018-05-31T00:00:00.000Z,13,63751
2018-05-31T00:00:00.000Z,13,68000
2018-05-31T00:00:00.000Z,13,44625
2018-05-31T00:00:00.000Z,13,38252
2018-05-31T00:00:00.000Z,13,293869
2018-05-31T00:00:00.000Z,13,169575
2018-05-31T00:00:00.000Z,13,481067
2018-04-30T00:00:00.000Z,13,282487
2018-04-30T00:00:00.000Z,13,467500
2018-05-22T00:00:00.000Z,13,82350
2018-05-16T00:00:00.000Z,13,300250
2018-05-16T00:00:00.000Z,13,87000
2018-04-15T00:00:00.000Z,13,277500
2018-04-15T00:00:00.000Z,13,113625
2018-05-16T00:00:00.000Z,13,250725
2018-05-16T00:00:00.000Z,13,94800
2018-05-16T00:00:00.000Z,13,292875
2018-05-16T00:00:00.000Z,13,463875
2018-04-30T00:00:00.000Z,13,19380
2018-04-30T00:00:00.000Z,13,60563
2018-04-30T00:00:00.000Z,13,66109
2018-04-30T00:00:00.000Z,13,848088
2018-04-06T00:00:00.000Z,13,89500
2018-04-30T00:00:00.000Z,13,170000
2018-04-30T00:00:00.000Z,13,243355
2018-04-30T00:00:00.000Z,13,453839
2018-04-30T00:00:00.000Z,13,212330
2018-04-30T00:00:00.000Z,13,429165
2018-04-15T00:00:00.000Z,13,185925
2018-03-31T00:00:00.000Z,13,666263
2018-04-14T00:00:00.000Z,13,200350
2018-04-14T00:00:00.000Z,13,120000
2018-03-31T00:00:00.000Z,13,692219
2018-03-15T00:00:00.000Z,13,306500
2018-04-14T00:00:00.000Z,13,481875
2018-03-31T00:00:00.000Z,13,348642
2018-03-31T00:00:00.000Z,13,31876
2018-03-31T00:00:00.000Z,13,192242
2018-03-31T00:00:00.000Z,13,210375
2018-03-31T00:00:00.000Z,13,127784
2018-03-31T00:00:00.000Z,13,341656
2018-03-31T00:00:00.000Z,13,25500
2018-03-31T00:00:00.000Z,13,290683
2018-03-15T00:00:00.000Z,13,207150
2018-03-15T00:00:00.000Z,13,288750
2018-03-15T00:00:00.000Z,13,126000
2018-03-15T00:00:00.000Z,13,338750
2018-02-28T00:00:00.000Z,13,383207
2018-02-28T00:00:00.000Z,13,477983
2018-03-15T00:00:00.000Z,13,232650
2018-03-13T00:00:00.000Z,13,474375
2018-02-28T00:00:00.000Z,13,206692
2018-02-28T00:00:00.000Z,13,428309
2018-02-28T00:00:00.000Z,13,40800
2018-02-28T00:00:00.000Z,13,664770
2018-02-28T00:00:00.000Z,13,38251
2018-02-28T00:00:00.000Z,13,567269
2018-02-28T00:00:00.000Z,13,102992
2018-02-28T00:00:00.000Z,13,108375
2018-02-19T00:00:00.000Z,13,171750
2018-02-19T00:00:00.000Z,13,378625
2018-02-19T00:00:00.000Z,13,290975
2018-01-31T00:00:00.000Z,13,150000
2018-01-31T00:00:00.000Z,13,367502
2018-02-19T00:00:00.000Z,13,397375
2018-02-19T00:00:00.000Z,13,177750
2018-02-19T00:00:00.000Z,13,218625
2018-02-19T00:00:00.000Z,13,167250
2018-01-31T00:00:00.000Z,13,294458
2018-02-18T00:00:00.000Z,13,400000
2018-01-31T00:00:00.000Z,13,362214
2018-01-13T00:00:00.000Z,13,130875
2018-01-31T00:00:00.000Z,13,623155
2018-01-31T00:00:00.000Z,13,47814
